"onlyCRISA"	"onlyCRISB"	"onlyCRISC"	"onlyCRISD"	"onlyCRISE"	"CMS1"	"CMS2"	"CMS3"	"CMS4"	"Cetuximab_adjusted"	"BRAF"	"KRAS"	"MS_status_adjusted"	"CIMP_adjusted"	"gene_id"
"ENST00000613865.5"	-1.39223404325052	0	0	0.896085540254688	0	0	0	0	0	0	0	0	-0.692726185879786	0	"RPS24"
"ENST00000360830.9"	0.807279152342085	0	0	-1.16786584427336	0	0	0	0	0	0	0	0	0.529577049265004	0	"RPS24"
"ENST00000397420.9"	-0.755738910526543	0	0	0	0	0	0	0	0	0	0	0	0	0	"CD151"
"ENST00000563588.6"	-1.09567243493166	0	0	0	0	0	0	0	0	0	0	0	0	0	"PHKG2"
"ENST00000586534.6"	-0.280682879905614	0	0	0	0	0	0	0	0	0	0	0	-0.133735301051889	0	"RAD23A"
"ENST00000475836.5"	-1.46354325962716	0.967462648803802	0	0	0	0	0	0	0	0	0	0	-1.72027567379823	0	"RPL22L1"
"ENST00000458640.5"	1.04485546832068	0	0	0	0	0	0	0	0	0	0	0	0.770082971722247	0.474272339487728	"DDX39B"
"ENST00000396172.6"	-1.76743741086483	0	-0.7443133555161	0	0.759757396341917	0	0	0	0	0	0	0	-0.873592652935824	0	"DDX39B"
"ENST00000358901.11"	-0.605507500639362	0	0	0	0	0	0	0	0	0	0	0	0	0	"VCP"
"ENST00000492540.5"	0.842676262396888	0	0	-0.841270473091447	0	0	0	0	0	0	0	0	0.533058960588713	0	"PHPT1"
"ENST00000247665.12"	-0.604051089114263	0	0	0.432064637779053	0	0	0	0	0	0	0	0	-0.320939116057073	0	"PHPT1"
"ENST00000372458.8"	0	-0.437190491569645	0	0	0	0	0	0	0	0	0	0	0	0	"ELOVL1"
"ENST00000651476.1"	0	0.494261656022996	0	0	0	0	0	0	0	0	0	0	0	0	"UROD"
"ENST00000496055.5"	0	0.547042733996813	0	0	0	0	0	0	0	0	0	0	0	0	"RABGGTB"
"ENST00000271836.10"	0	-0.307421882438589	0	1.1402011498125	0	0	0	0	0	0	0	0	0	0	"ADAM15"
"ENST00000677389.1"	0	-1.31388906147613	0	0	0	0	0	0	0	0	-0.552735270174945	0	0	-0.502565531021946	"LMNA"
"ENST00000614189.4"	0	1.42315663017181	0	0	0	0	0	0	-2.80085345931745	0	0	0	0	0	"PCGF5"
"ENST00000659159.1"	0	-0.523306352778568	0	0	0	0	0	0	0	0	0	0	0	0	"OLMALINC"
"ENST00000318317.8"	0	0.511938669802388	0	0	0	0	0	0	0	0	0	0	-0.250552461527446	0	"LRR1"
"ENST00000298288.11"	0	-0.234810418394063	0	0	0	0	0	0	0	0	0	0	0.151789925219133	0	"LRR1"
"ENST00000617571.5"	0	0.41167324937645	0	0	0	0	0	0	0	0	0	0	0	0	"INF2"
"ENST00000317091.10"	0	-0.212428507358736	0	0	0	0	0	0	0	0	0	0	0	0	"CES2"
"ENST00000610443.1"	0	0.764635871751476	0	0	-0.996924435047826	0	0	0	0	0	0	0	0	0	"DHRS11"
"ENST00000590253.3"	0	0.952513513255515	0	0	0	0	0	0	0	0	0	0	-0.553507214032919	0	"G6PC3"
"ENST00000392359.8"	0	-0.938842980609937	0	0	0	0	0	0	0	0	0	0	0	0	"CENPX"
"ENST00000306704.10"	0	0.714395559514971	0	0	0	0	0	0	0	0	0	-0.378008067389391	0	0	"CENPX"
"ENST00000592297.2"	0	-1.83134171560784	0	0	0	0	0	0	0	0	0	0	0	0	"ARHGAP45"
"ENST00000162044.14"	0	0.217708104162265	0	0	0	0	0	0	0	0	0	0	0	0	"TMEM161A"
"ENST00000599538.5"	0	-0.701716248709521	0	0	0	0	0	0	0	0	0	0	0	0	"VRK3"
"ENST00000629438.2"	0	1.01639349434588	0	0	0	0	0	0	0	0	0	0	0	0	"DGUOK"
"ENST00000376062.6"	0	1.25184647001327	0	0	0	0	0	0	0	0	0	0	0	0	"BCL2L1"
"ENST00000399568.5"	0	-0.35337771737116	0	0	0.590030591434552	0	0	0	0	0	0	0	0	0	"C22orf39"
"ENST00000399562.9"	0	0.371705387818217	0	0	-0.759142631941666	0	0	0	0	0	0	0	0	0	"C22orf39"
"ENST00000335025.12"	0	-1.38213056218701	0	0	0	0	0	0	0	0	0	0	0	0	"PPIL2"
"ENST00000398831.8"	0	2.3306995006737	0	0	0	0	0	0	0	0	0	0	0	0	"PPIL2"
"ENST00000295830.13"	0	-0.569629179624548	0	0	0	0	0	0	0	0	0	0	0.658560911281384	0	"RPL22L1"
"ENST00000295955.14"	0	-0.206118719840079	0	0	0	0	0	0	0	0	0	0	0	0	"RPL9"
"ENST00000449470.6"	0	0.647444028540626	0	0	0	0	0	0	0	0	0	0	0	0	"RPL9"
"ENST00000356731.9"	0	-0.442701533878204	0	0	0	0	0	0	0	0	0	0	0	0	"HNRNPH1"
"ENST00000643244.1"	0	0.985639032274169	0	-2.04327762988108	0	0	0	0	0	0	0	0	0	0	"NT5C3A"
"ENST00000249299.7"	0	-0.358365884338104	0	0	0	0	0	0	0	0	0	0	0	0	"LSM8"
"ENST00000373247.7"	0	-0.627037512123202	0	0	0	0	0	0	0	0	0	0	0	0	"FPGS"
"ENST00000483559.5"	0	0.920284187614842	0	0	0	0	0	0	0	0	0	0	0	0	"FBXW5"
"ENST00000325285.8"	0	-0.255798705527564	0	0	0	0	0	0	0	0	0	0	0	0	"FBXW5"
"ENST00000329236.8"	0	-0.96786730685597	0	0	0	0	0	0	0	0	0	0	0	0	"RBM10"
"ENST00000292180.8"	0	0	-1.45783843965679	0	0	0	0	0	0	0	0	0	0	0	"FLAD1"
"ENST00000254108.12"	0	0	-0.596041976413272	0	0	0	0	0	0	0	0	0	0	0	"FUS"
"ENST00000325279.4"	0	0	-2.41900044868124	0	0	0	0	0	0	0	0	0	0	0	"KLHL36"
"ENST00000333775.9"	0	0	1.05927788103815	0	0	0	0	0	0	0	0	0	0	0	"NAA38"
"ENST00000434526.8"	0	0	-0.64610260897289	0	0.558798950155254	0	0	0	0	0	0	0	0	0	"SUMF2"
"ENST00000370949.2"	0	0	0	0.666711132923098	0	0	0	0	0	0	0	0	-0.468508358724656	0	"SRSF11"
"ENST00000454422.2"	0	0	0	1.01976270258678	0	0	0	0	0	0	0	0	0	0	"LZTS2"
"ENST00000338663.12"	0	0	0	-0.336457711865671	0	0	0	0	0	0	0	0	0	0	"SLC3A2"
"ENST00000398453.7"	0	0	0	-0.599131570747789	0	0	0	0	0	0	0	0	0	0	"SMAGP"
"ENST00000408946.7"	0	0	0	-0.315934735439577	0	0	0	0	0	0	0	0	0	0	"PYM1"
"ENST00000549591.1"	0	0	0	-1.7723552131141	2.67604904727125	0	0	0	0	0	0	0	0	0	"POC1B"
"ENST00000649815.2"	0	0	0	1.23439093159244	0	0	0	0	0	0	0	0	0	0	"AKT1"
"ENST00000558288.1"	0	0	0	-1.20816682304955	1.91817805254011	0	0	0	0	0	0	0	0	0	"HMG20A"
"ENST00000568470.6"	0	0	0	0.792442480008601	-1.2457595782128	0	0	0	0	0	0	0	0	0	"CES2"
"ENST00000358514.9"	0	0	0	-0.571100106219655	0	0	0	0	0	0	0	0	0	0	"PSMB10"
"ENST00000225308.12"	0	0	0	-0.384260647102924	0	0	0	0	0	0	0	0	0	0	"SLC25A39"
"ENST00000674522.1"	0	0	0	-1.26354177451113	0	0	0	0	0	0	0	0	1.28764688742637	0	"MSI2"
"ENST00000262291.9"	0	0	0	0.554127950418263	-1.51800619471516	0	0	0	0	0	0	-0.361730542136617	0	0	"VMP1"
"ENST00000592790.1"	0	0	0	-0.548889528360096	0	0	0	0	0	0	0	0	0	0	"VMP1"
"ENST00000339486.8"	0	0	0	0.20125158634991	0	0	0	0	0	0	0	0	0	0	"RIOK3"
"ENST00000581220.1"	0	0	0	-1.71983194586209	0	0	0	0	0	0	0	1.48230380462468	0	0	"RIOK3"
"ENST00000646974.2"	0	0	0	-2.07966691876969	0	0	0	0	0	0	0	0.745972406355689	0	0	"TPM4"
"ENST00000643579.2"	0	0	0	0.739237922961626	0	0	0	0	0	0	0	-0.475783974467584	0	0	"TPM4"
"ENST00000272430.10"	0	0	0	-0.387138966543075	0	0	0	0	0	0	0	0	0	0	"RTKN"
"ENST00000237455.5"	0	0	0	0.193319272044449	-0.859003488273651	0	0	0	0	0	0	-0.161783618901854	0	0	"RNF103"
"ENST00000472030.1"	0	0	0	-1.1084740850002	2.07087744486977	0	0	0	0	0	0	1.27852411700009	0	0	"RNF103"
"ENST00000325795.7"	0	0	0	-0.747499056025259	0	0	0	0	0	0	0	0	0	0	"ORMDL1"
"ENST00000481546.1"	0	0	0	-0.713330993624073	0.679454193936995	0	0	0	0	0	0	0	0	0	"UBE2G2"
"ENST00000295767.9"	0	0	0	-0.715962520097599	0	0	0	0	0	0	0	0	0	0	"CHCHD4"
"ENST00000396914.4"	0	0	0	0.139762519089257	0	0	0	0	0	0	0	0	0	0	"CHCHD4"
"ENST00000358537.7"	0	0	0	3.04943207985985	0	0	0	0	0	0	0	0	0	0	"FLNB"
"ENST00000295959.10"	0	0	0	0.421259171199167	-0.586690698582638	0	0	0	0	0	0	0	0	0	"RPP14"
"ENST00000445193.7"	0	0	0	-0.441039910352502	0.535756844302273	0	0	0	0	0	0	0	0	0	"RPP14"
"ENST00000514463.1"	0	0	0	-0.758790315649592	1.21400718227788	0	0	0	0	0	0	0.699748387389644	0	0	"ZXDC"
"ENST00000230640.10"	0	0	0	0.109311059553285	-0.583755188189583	0	0	0	0	0	0	0	0	0	"MTREX"
"ENST00000508716.1"	0	0	0	-1.67325315035553	3.60748150571569	0	0	0	0	0	0	0	0	0	"MTREX"
"ENST00000650454.1"	0	0	0	0.177556735714581	0	0	0	0	0	0	0	0	0	0	"GCLC"
"ENST00000397011.2"	0	0	0	0.606189139089935	0	0	0	0	0	0	0	-0.317505786688635	0	0	"EIF3B"
"ENST00000396663.2"	0	0	0	-0.52625139744612	0	0	0	0	0	0	0	0	0	0	"ARL4A"
"ENST00000360768.5"	0	0	0	0.491402610030959	0	0	0	0	0	0	0	0	0	0	"VKORC1L1"
"ENST00000265753.13"	0	0	0	0.427149839901119	-0.629146328409834	0	0	0	0	0	0	0	0	0	"EIF4H"
"ENST00000394641.7"	0	0	0	-2.12481810061624	0	0	0	0	0	0	-2.02229644810053	0	0	0	"SRI"
"ENST00000498518.1"	0	0	0	-1.8731493012863	0	0	0	0	0	0	0	0	0	0	"LUC7L2"
"ENST00000533662.2"	0	0	0	-0.955604090395146	0	0	0	0	0	0	0	0	0.827486756664927	0	"SLC52A2"
"ENST00000372486.5"	0	0	0	-1.91643251577573	1.72438219395423	0	0	0	0	0	0	0.603229107212749	0	0	"NTMT1"
"ENST00000357365.8"	0	0	0	0.430996893640513	-1.89015089895929	0	0	0	0	0	0	0	0	0	"ENTR1"
"ENST00000622447.5"	0	0	0	-0.400049233253699	0	0	0	0	0	0	0	0	0.239009355307451	0	"FAM156A"
