sample.names	predict.label
RCM1	5
SKCO1	1
SW620	4
C32	3
CL14	4
C125PM	2
C70	2
COGA5	3
COGA8	2
HROC60P4918112014PRM	3
HROC147	2
COGA1	1
LS411N	4
C10S1	1
HROC39	2
SW1417	3
CACO2	4
COGA5L	3
LS1030	4
SNU1033	1
HROC173	3
FET	2
HROC277MET2	3
SNU1235S21	1
KP363T	3
HUTU80	4
C80	5
NCIH684	2
SW1116	3
RW7213	5
HCA46	2
OXCO1	4
CL11	4
DLD1	1
SNU61	2
HROC239	4
SNU254	3
HROC57	4
CRC0558	2
HCD9	1
LIM1215	1
CCK81	2
SW837	3
V411	1
NCIH498	4
SNU1181	3
SNU1040	4
HDC142	2
HROC24S4	1
HDC114S17	3
HROC18	3
LS180S23	1
HDC114	4
COLO678	4
HDC8	3
LS180	1
HROC43P43RNA28102014PRM	3
CR4	3
LS513P21RNA28032018	3
SNU1235	1
C75	2
HROC284MetP34RNA03042015	3
HT115	1
C99	5
COGA2	5
HT29	3
CAPAN1	3
C84	2
HCA24	5
COLO201	3
SNU977	3
HROC334	5
WIDR	3
NCHI716	4
HDC143	5
HCC2998	4
IRCC22	1
SNU503	4
KM20	3
SNU1411	3
MDST8	4
HROC183	5
DLD1S12	1
HROC69S8	4
HROC87	5
SNU283	2
SNU1040S11	4
HROC285	3
OXCO3	3
SNU81S15	3
HROC69	3
LIM1215S22	2
SW1222	2
HROC313METP14RNA28052015	2
SNU175	1
SNU479	1
HROC59	4
C106	2
V481	1
HROC50	1
HRA16	2
LS411NS23	4
SNU81	3
SNU1684	2
HROC46	4
LS123	3
SNUC1	2
HROC80	3
CRC0781XL	1
HROC24	1
HROC278Met	5
OXCO2	2
SW480	4
SNU1746	1
COCM1	2
HROC277	2
HROC131	5
OUSM23	4
LIM2099	3
HROC32	2
C10	1
LOVO	3
HT55	2
DIFI	2
HROC112Met	2
SNU1047	4
COLO94H	5
COGA12	5
IRCC1	5
CRC0313	2
SW1463	5
HDC54	2
IRCC5A	2
SW403	5
CAR1	3
HDC82	2
COLO320	4
