sample	total_transcripts	total_annotated	total_unannotated	assigned_transcript	assigned_annotated	assigned_unannotated	unannotated_IR_containing_transcripts
C106.STAR	46476	34012	12464	43543	32602	10941	170
C10S1.STAR	49170	36949	12221	45864	35365	10499	97
C10.STAR	40604	30030	10574	38139	28887	9252	47
C125PM.STAR	51199	38466	12733	47317	36719	10598	130
C32.STAR	50301	35927	14374	46487	34295	12192	90
C70.STAR	51167	38960	12207	47560	37196	10364	123
C75.STAR	40302	30690	9612	37872	29531	8341	47
C80.STAR	38841	29149	9692	36523	28093	8430	36
C84.STAR	48383	35790	12593	45258	34304	10954	184
C99.STAR	40807	29847	10960	38074	28578	9496	45
CACO2.STAR	49731	37544	12187	46285	35931	10354	117
CAPAN1.STAR	56346	40144	16202	51793	38013	13780	639
CAR1.STAR	39800	29099	10701	37408	27981	9427	26
CCK81.STAR	51531	36835	14696	47038	35091	11947	218
CL11.STAR	49736	36439	13297	45838	34748	11090	144
CL14.STAR	57301	42922	14379	52796	40853	11943	168
COCM1.STAR	47655	33968	13687	44089	32459	11630	301
COGA122.STAR	35800	25427	10373	33845	24558	9287	25
COGA12.STAR	35800	25427	10373	33845	24558	9287	25
COGA1.STAR	51705	39476	12229	48416	37871	10545	234
COGA2.STAR	47724	35560	12164	44116	33860	10256	221
COGA5L.STAR	47324	35459	11865	44097	34182	9915	53
COGA5.STAR	52330	39452	12878	48298	37668	10630	107
COGA8.STAR	52948	40091	12857	48790	38227	10563	106
COLO201.STAR	46706	34464	12242	43109	33029	10080	77
COLO3202.STAR	36814	25777	11037	34051	24723	9328	20
COLO320.STAR	36814	25777	11037	34051	24723	9328	20
COLO678.STAR	49882	37112	12770	46650	35659	10991	203
COLO94H2.STAR	33634	17188	16446	30565	16085	14480	7
COLO94H.STAR	33636	17188	16448	30566	16085	14481	7
CR4.STAR	50490	37004	13486	46509	35451	11058	137
CRC0078.STAR	35152	24720	10432	33102	23835	9267	13
CRC0080XL.STAR	42599	31869	10730	39669	30638	9031	47
CRC0081.STAR	37255	25443	11812	34958	24343	10615	30
CRC0104.STAR	38087	27415	10672	35648	26336	9312	26
CRC0174.STAR	39994	29310	10684	37414	28200	9214	40
CRC0186.STAR	39051	28283	10768	36609	27229	9380	23
CRC0313.STAR	35676	26210	9466	33665	25336	8329	19
CRC0394.STAR	42689	32126	10563	39926	30884	9042	39
CRC0438.STAR	44101	33126	10975	41246	31864	9382	39
CRC0558.STAR	44694	32910	11784	41463	31542	9921	42
CRC0691.STAR	37543	27767	9776	35098	26671	8427	37
CRC0740.STAR	38626	28155	10471	36183	27067	9116	26
CRC0778.STAR	38302	28001	10301	35957	26962	8995	44
CRC0781XL.STAR	41159	28202	12957	38140	26930	11210	87
DIFI.STAR	40118	28514	11604	37349	27388	9961	34
DLD1S12.STAR	49641	37122	12519	46514	35630	10884	222
DLD1.STAR	48253	35521	12732	45163	34035	11128	186
FET.STAR	40480	30183	10297	37722	29048	8674	24
HCA24.STAR	51748	38290	13458	47911	36485	11426	319
HCA46.STAR	50040	37046	12994	46149	35342	10807	193
HCC2998.STAR	54894	38929	15965	50102	36938	13164	192
HCD9.STAR	51023	37611	13412	47099	35868	11231	148
HDC114S17.STAR	55650	40630	15020	51134	38772	12362	222
HDC114.STAR	52714	38481	14233	49000	36935	12065	107
HDC142.STAR	51118	37306	13812	46655	35547	11108	140
HDC143.STAR	48858	36556	12302	45761	35093	10668	247
HDC54.STAR	36227	26044	10183	33747	25014	8733	29
HDC82.STAR	37899	28675	9224	35832	27669	8163	66
HDC8.STAR	52415	37727	14688	47615	35805	11810	299
HRA16.STAR	48585	36371	12214	44934	34645	10289	152
HROBMCO1.STAR	49674	36936	12738	46100	35326	10774	220
HROC112Met.STAR	40506	30294	10212	38145	29199	8946	114
HROC131.STAR	52680	38071	14609	48110	36106	12004	261
HROC147.STAR	47403	35320	12083	44021	33766	10255	188
HROC173.STAR	55786	40804	14982	51161	38875	12286	297
HROC183.STAR	48955	34274	14681	45244	32673	12571	393
HROC18.STAR	48550	35320	13230	44850	33793	11057	124
HROC239.STAR	47436	35109	12327	43760	33594	10166	97
HROC2425VGI.STAR	47655	36530	11125	44461	35017	9444	164
HROC24NT.STAR	47017	35881	11136	43949	34379	9570	191
HROC24S4.STAR	47927	35763	12164	44758	34270	10488	177
HROC24.STAR	35856	27122	8734	33812	26145	7667	18
HROC277MET2.STAR	51947	37837	14110	48180	36241	11939	219
HROC277.STAR	39628	29130	10498	36914	27945	8969	34
HROC278Met.STAR	52063	36992	15071	48007	35295	12712	176
HROC284MetP34RNA03042015.STAR	55349	40339	15010	51004	38488	12516	226
HROC285.STAR	41262	29202	12060	38650	28125	10525	33
HROC313METP14RNA28052015.STAR	43958	24585	19373	40673	23229	17444	435
HROC32.STAR	36813	27364	9449	34759	26461	8298	43
HROC334.STAR	47787	35467	12320	44441	33973	10468	157
HROC39.STAR	49214	36806	12408	46011	35266	10745	212
HROC43P43RNA28102014PRM.STAR	54348	39112	15236	50108	37361	12747	402
HROC46.STAR	40760	29472	11288	38094	28407	9687	31
HROC50.STAR	44621	33252	11369	41547	31874	9673	83
HROC57.STAR	56718	41429	15289	51646	39279	12367	274
HROC59.STAR	44109	32358	11751	40912	30995	9917	45
HROC60P4918112014PRM.STAR	55603	41054	14549	51017	39096	11921	258
HROC69S8.STAR	51836	38049	13787	47722	36200	11522	299
HROC69.STAR	50370	37408	12962	46421	35678	10743	236
HROC80.STAR	42261	30450	11811	39454	29336	10118	52
HROC87.STAR	41377	30096	11281	38422	28790	9632	29
HT115.STAR	52939	37950	14989	48568	36139	12429	278
HT29.STAR	48391	35380	13011	44810	33737	11073	219
HT55.STAR	37491	27409	10082	35071	26411	8660	31
HUTU80.STAR	50437	37397	13040	46502	35726	10776	143
IRCC1.STAR	41102	30346	10756	38607	29206	9401	88
IRCC22.STAR	47822	35278	12544	44379	33814	10565	212
IRCC5A.STAR	36568	27253	9315	34395	26252	8143	44
IRCC5B.STAR	41182	29937	11245	38347	28765	9582	33
KM20.STAR	41146	29484	11662	38556	28273	10283	49
KP363T.STAR	51920	37643	14277	48131	36084	12047	119
LIM1215S22.STAR	48458	35835	12623	45219	34295	10924	199
LIM1215.STAR	48940	35996	12944	46013	34620	11393	113
LIM2099.STAR	40070	28387	11683	37093	27180	9913	28
LOVO.STAR	49267	35791	13476	45558	34149	11409	295
LS1030.STAR	42349	31004	11345	38881	29630	9251	38
LS123.STAR	52392	37970	14422	48012	36177	11835	169
LS180S23.STAR	50126	36897	13229	46319	35217	11102	256
LS180.STAR	53542	39423	14119	49307	37595	11712	304
LS411NS23.STAR	48069	34946	13123	44657	33433	11224	146
LS411N.STAR	55326	40206	15120	50886	38265	12621	227
LS513P21RNA28032018.STAR	48965	36049	12916	45153	34450	10703	250
MDST8.STAR	48316	34622	13694	44641	33254	11387	76
NCHI716.STAR	49224	36112	13112	45305	34504	10801	115
NCIH498.STAR	50054	37710	12344	46587	36164	10423	236
NCIH684.STAR	48733	36732	12001	45621	35308	10313	156
OUSM23.STAR	41345	27937	13408	37948	26779	11169	11
OXCO1.STAR	52898	39092	13806	48641	37290	11351	198
OXCO2.STAR	48818	34140	14678	44833	32451	12382	253
OXCO3.STAR	44695	33189	11506	42155	32007	10148	69
RCM1.STAR	61576	46127	15449	55908	43698	12210	119
RW7213.STAR	48750	36776	11974	45242	35194	10048	159
SKCO1.STAR	54002	41807	12195	49535	39774	9761	98
SNU1033.STAR	48232	35693	12539	44607	34107	10500	110
SNU1040S11.STAR	53808	39727	14081	49783	37863	11920	324
SNU1040.STAR	52035	38636	13399	48257	36873	11384	223
SNU1047.STAR	51466	36917	14549	47109	35148	11961	217
SNU1181.STAR	49843	36046	13797	45909	34364	11545	168
SNU1235S21.STAR	49256	36720	12536	45652	35223	10429	130
SNU1235.STAR	51800	38057	13743	47476	36268	11208	191
SNU1406.STAR	46680	35414	11266	43439	33941	9498	151
SNU1411.STAR	42018	31830	10188	39657	30710	8947	105
SNU1460.STAR	42082	31795	10287	39879	30736	9143	133
SNU1684.STAR	53425	38834	14591	49344	37090	12254	234
SNU1746.STAR	50430	35051	15379	46298	33210	13088	459
SNU175.STAR	50681	37661	13020	47173	35991	11182	354
SNU254.STAR	50829	36690	14139	46622	35066	11556	141
SNU283.STAR	44366	33377	10989	41556	32029	9527	129
SNU479.STAR	45447	34460	10987	42506	33033	9473	214
SNU503.STAR	52429	38248	14181	48037	36506	11531	206
SNU61.STAR	52304	38391	13913	48279	36645	11634	233
SNU81S15.STAR	54722	39970	14752	50736	38197	12539	417
SNU81.STAR	49962	37197	12765	46832	35764	11068	260
SNU977.STAR	50370	36840	13530	46289	35253	11036	136
SNUC1.STAR	43321	32171	11150	40485	30904	9581	120
SW1116.STAR	49570	36178	13392	46230	34592	11638	254
SW1222.STAR	49502	34302	15200	45710	32587	13123	390
SW1417.STAR	51316	37970	13346	47316	36288	11028	143
SW1463.STAR	35256	17577	17679	32010	16316	15694	38
SW403.STAR	39600	28127	11473	36848	26897	9951	70
SW480.STAR	46597	34391	12206	42879	32823	10056	72
SW620S14.STAR	55894	40138	15756	50783	38010	12773	251
SW620.STAR	76064	56807	19257	68659	53571	15088	424
SW837.STAR	53986	39550	14436	49702	37773	11929	214
V411.STAR	46524	33846	12678	42738	32318	10420	137
V481.STAR	43336	32652	10684	40817	31441	9376	130
WIDR.STAR	43882	33164	10718	41161	31872	9289	67
