"ES"	"p_val"	"path"	"hits"	"hits_n"
"Glutathione metabolism"	-Inf	1	"Glutathione metabolism"	""	0
"Alanine and aspartate metabolism"	-Inf	1	"Alanine and aspartate metabolism"	""	0
"Translation factors"	-Inf	1	"Translation factors"	""	0
"Electron transport chain OXPHOS system in mitochondria"	-Inf	1	"Electron transport chain OXPHOS system in mitochondria"	""	0
"GPCRs other"	-Inf	1	"GPCRs other"	""	0
"Osteoclast signaling"	-Inf	1	"Osteoclast signaling"	""	0
"IL 5 signaling pathway"	-Inf	1	"IL 5 signaling pathway"	""	0
"Matrix metalloproteinases"	-Inf	1	"Matrix metalloproteinases"	""	0
"Pentose phosphate metabolism"	-Inf	1	"Pentose phosphate metabolism"	""	0
"Phase I biotransformations non P450"	-Inf	1	"Phase I biotransformations non P450"	""	0
"Androgen receptor signaling pathway"	-Inf	1	"Androgen receptor signaling pathway"	""	0
"AMP activated protein kinase signaling"	1.23132554610646	0.339765910498819	"AMP activated protein kinase signaling"	"200186"	1
"Sphingolipid pathway"	-Inf	1	"Sphingolipid pathway"	""	0
"Ganglio sphingolipid metabolism"	-Inf	1	"Ganglio sphingolipid metabolism"	""	0
"Bone morphogenic protein signaling and regulation"	-Inf	1	"Bone morphogenic protein signaling and regulation"	""	0
"Fatty acid beta oxidation"	-Inf	1	"Fatty acid beta oxidation"	""	0
"Nucleotide binding oligomerization domain NOD pathway"	-Inf	1	"Nucleotide binding oligomerization domain NOD pathway"	""	0
"Osteopontin signaling"	-Inf	1	"Osteopontin signaling"	""	0
"Influenza A virus infection"	-Inf	1	"Influenza A virus infection"	""	0
"Serotonin transporter activity"	-Inf	1	"Serotonin transporter activity"	""	0
"Target of rapamycin signaling"	-Inf	1	"Target of rapamycin signaling"	""	0
"Glycine metabolism"	-Inf	1	"Glycine metabolism"	""	0
"Selenium micronutrient network"	-Inf	1	"Selenium micronutrient network"	""	0
"Physiological and pathological hypertrophy of the heart"	-Inf	1	"Physiological and pathological hypertrophy of the heart"	""	0
