"ES"	"p_val"	"path"	"hits"	"hits_n"
"Glutathione metabolism"	-Inf	1	"Glutathione metabolism"	""	0
"Alanine and aspartate metabolism"	-Inf	1	"Alanine and aspartate metabolism"	""	0
"Translation factors"	0.301775188596449	0.549972374490269	"Translation factors"	"23277"	1
"Electron transport chain OXPHOS system in mitochondria"	-Inf	0.416531940204416	"Electron transport chain OXPHOS system in mitochondria"	""	0
"GPCRs other"	-Inf	0.407222166507241	"GPCRs other"	""	0
"Osteoclast signaling"	-Inf	1	"Osteoclast signaling"	""	0
"IL 5 signaling pathway"	-Inf	1	"IL 5 signaling pathway"	""	0
"Matrix metalloproteinases"	-Inf	1	"Matrix metalloproteinases"	""	0
"Pentose phosphate metabolism"	-Inf	1	"Pentose phosphate metabolism"	""	0
"Phase I biotransformations non P450"	-Inf	1	"Phase I biotransformations non P450"	""	0
"Androgen receptor signaling pathway"	-Inf	0.649421215647571	"Androgen receptor signaling pathway"	""	0
"AMP activated protein kinase signaling"	0.865676073789776	0.285920574559967	"AMP activated protein kinase signaling"	"5565;7248"	2
"Sphingolipid pathway"	-Inf	1	"Sphingolipid pathway"	""	0
"Ganglio sphingolipid metabolism"	-Inf	1	"Ganglio sphingolipid metabolism"	""	0
"Bone morphogenic protein signaling and regulation"	-Inf	1	"Bone morphogenic protein signaling and regulation"	""	0
"Fatty acid beta oxidation"	-Inf	1	"Fatty acid beta oxidation"	""	0
"Nucleotide binding oligomerization domain NOD pathway"	-Inf	1	"Nucleotide binding oligomerization domain NOD pathway"	""	0
"Osteopontin signaling"	-Inf	1	"Osteopontin signaling"	""	0
"Influenza A virus infection"	-Inf	1	"Influenza A virus infection"	""	0
"Serotonin transporter activity"	-Inf	1	"Serotonin transporter activity"	""	0
"Target of rapamycin signaling"	1.72627301712436	0.110266584705101	"Target of rapamycin signaling"	"5565;7248"	2
"Glycine metabolism"	-Inf	1	"Glycine metabolism"	""	0
"Selenium micronutrient network"	-Inf	0.649421215647571	"Selenium micronutrient network"	""	0
