"ES"	"p_val"	"path"	"hits"	"hits_n"
"Glutathione metabolism"	-Inf	1	"Glutathione metabolism"	""	0
"Alanine and aspartate metabolism"	-Inf	1	"Alanine and aspartate metabolism"	""	0
"Translation factors"	-Inf	0.646215026706357	"Translation factors"	""	0
"Electron transport chain OXPHOS system in mitochondria"	-Inf	0.119809692471801	"Electron transport chain OXPHOS system in mitochondria"	""	0
"GPCRs other"	-Inf	0.183733469865514	"GPCRs other"	""	0
"Osteoclast signaling"	-Inf	1	"Osteoclast signaling"	""	0
"IL 5 signaling pathway"	-Inf	0.626260545679217	"IL 5 signaling pathway"	""	0
"Matrix metalloproteinases"	-Inf	1	"Matrix metalloproteinases"	""	0
"Pentose phosphate metabolism"	-Inf	1	"Pentose phosphate metabolism"	""	0
"Phase I biotransformations non P450"	-Inf	1	"Phase I biotransformations non P450"	""	0
"Androgen receptor signaling pathway"	-0.335021276447353	1	"Androgen receptor signaling pathway"	"10401;2316"	2
"AMP activated protein kinase signaling"	-0.91998377716851	1	"AMP activated protein kinase signaling"	"55437"	1
"Sphingolipid pathway"	-Inf	1	"Sphingolipid pathway"	""	0
"Ganglio sphingolipid metabolism"	-Inf	1	"Ganglio sphingolipid metabolism"	""	0
"Bone morphogenic protein signaling and regulation"	-Inf	1	"Bone morphogenic protein signaling and regulation"	""	0
"Fatty acid beta oxidation"	-Inf	1	"Fatty acid beta oxidation"	""	0
"Nucleotide binding oligomerization domain NOD pathway"	-0.169011325008424	1	"Nucleotide binding oligomerization domain NOD pathway"	"3551"	1
"Osteopontin signaling"	0.866612584722297	0.299510294678952	"Osteopontin signaling"	"3551"	1
"Influenza A virus infection"	-Inf	1	"Influenza A virus infection"	""	0
"Serotonin transporter activity"	-Inf	1	"Serotonin transporter activity"	""	0
"Target of rapamycin signaling"	-0.0593868338339261	1	"Target of rapamycin signaling"	"253260"	1
"Glycine metabolism"	-Inf	1	"Glycine metabolism"	""	0
"Selenium micronutrient network"	-Inf	0.177096786659007	"Selenium micronutrient network"	""	0
