"sample"	"total_transcripts"	"assigned_transcript"	"assigned_annotated"	"assigned_unannotated"
"1"	"C106.STAR"	46476	43538	32602	10936
"2"	"C10S1.STAR"	49170	45863	35365	10498
"3"	"C10.STAR"	40604	38139	28887	9252
"4"	"C125PM.STAR"	51199	47312	36719	10593
"5"	"C32.STAR"	50301	46487	34295	12192
"6"	"C70.STAR"	51167	47556	37196	10360
"7"	"C75.STAR"	40302	37870	29531	8339
"8"	"C80.STAR"	38841	36523	28093	8430
"9"	"C84.STAR"	48383	45253	34304	10949
"10"	"C99.STAR"	40807	38074	28578	9496
"11"	"CACO2.STAR"	49731	46282	35931	10351
"12"	"CAPAN1.STAR"	56346	51782	38013	13769
"13"	"CAR1.STAR"	39800	37408	27981	9427
"14"	"CCK81.STAR"	51531	47031	35091	11940
"15"	"CL11.STAR"	49736	45835	34748	11087
"16"	"CL14.STAR"	57301	52794	40853	11941
"17"	"COCM1.STAR"	47655	44082	32459	11623
"18"	"COGA122.STAR"	35800	33845	24558	9287
"19"	"COGA12.STAR"	35800	33845	24558	9287
"20"	"COGA1.STAR"	51705	48412	37871	10541
"21"	"COGA2.STAR"	47724	44113	33860	10253
"22"	"COGA5L.STAR"	47324	44096	34182	9914
"23"	"COGA5.STAR"	52330	48295	37668	10627
"24"	"COGA8.STAR"	52948	48789	38227	10562
"25"	"COLO201.STAR"	46706	43109	33029	10080
"26"	"COLO3202.STAR"	36814	34051	24723	9328
"27"	"COLO320.STAR"	36814	34051	24723	9328
"28"	"COLO678.STAR"	49882	46646	35659	10987
"29"	"COLO94H2.STAR"	33634	30565	16085	14480
"30"	"COLO94H.STAR"	33636	30566	16085	14481
"31"	"CR4.STAR"	50490	46508	35451	11057
"32"	"CRC0078.STAR"	35152	33102	23835	9267
"33"	"CRC0080XL.STAR"	42599	39668	30638	9030
"34"	"CRC0081.STAR"	37255	34958	24343	10615
"35"	"CRC0104.STAR"	38087	35648	26336	9312
"36"	"CRC0174.STAR"	39994	37412	28200	9212
"37"	"CRC0186.STAR"	39051	36609	27229	9380
"38"	"CRC0313.STAR"	35676	33665	25336	8329
"39"	"CRC0394.STAR"	42689	39926	30884	9042
"40"	"CRC0438.STAR"	44101	41246	31864	9382
"41"	"CRC0558.STAR"	44694	41462	31542	9920
"42"	"CRC0691.STAR"	37543	35098	26671	8427
"43"	"CRC0740.STAR"	38626	36183	27067	9116
"44"	"CRC0778.STAR"	38302	35957	26962	8995
"45"	"CRC0781XL.STAR"	41159	38140	26930	11210
"46"	"DIFI.STAR"	40118	37349	27388	9961
"47"	"DLD1S12.STAR"	49641	46513	35630	10883
"48"	"DLD1.STAR"	48253	45160	34035	11125
"49"	"FET.STAR"	40480	37722	29048	8674
"50"	"HCA24.STAR"	51748	47906	36485	11421
"51"	"HCA46.STAR"	50040	46145	35342	10803
"52"	"HCC2998.STAR"	54894	50095	36938	13157
"53"	"HCD9.STAR"	51023	47094	35868	11226
"54"	"HDC114S17.STAR"	55650	51127	38772	12355
"55"	"HDC114.STAR"	52714	48996	36935	12061
"56"	"HDC142.STAR"	51118	46650	35547	11103
"57"	"HDC143.STAR"	48858	45755	35093	10662
"58"	"HDC54.STAR"	36227	33747	25014	8733
"59"	"HDC82.STAR"	37899	35832	27669	8163
"60"	"HDC8.STAR"	52415	47612	35805	11807
"61"	"HRA16.STAR"	48585	44931	34645	10286
"62"	"HROBMCO1.STAR"	49674	46095	35326	10769
"63"	"HROC112Met.STAR"	40506	38141	29199	8942
"64"	"HROC131.STAR"	52680	48107	36106	12001
"65"	"HROC147.STAR"	47403	44019	33766	10253
"66"	"HROC173.STAR"	55786	51154	38875	12279
"67"	"HROC183.STAR"	48955	45230	32673	12557
"68"	"HROC18.STAR"	48550	44846	33793	11053
"69"	"HROC239.STAR"	47436	43759	33594	10165
"70"	"HROC2425VGI.STAR"	47655	44457	35017	9440
"71"	"HROC24NT.STAR"	47017	43941	34379	9562
"72"	"HROC24S4.STAR"	47927	44756	34270	10486
"73"	"HROC24.STAR"	35856	33812	26145	7667
"74"	"HROC277MET2.STAR"	51947	48179	36241	11938
"75"	"HROC277.STAR"	39628	36914	27945	8969
"76"	"HROC278Met.STAR"	52063	48002	35295	12707
"77"	"HROC284MetP34RNA03042015.STAR"	55349	51000	38488	12512
"78"	"HROC285.STAR"	41262	38646	28125	10521
"79"	"HROC313METP14RNA28052015.STAR"	43958	40668	23229	17439
"80"	"HROC32.STAR"	36813	34757	26461	8296
"81"	"HROC334.STAR"	47787	44433	33973	10460
"82"	"HROC39.STAR"	49214	46004	35266	10738
"83"	"HROC43P43RNA28102014PRM.STAR"	54348	50096	37361	12735
"84"	"HROC46.STAR"	40760	38089	28407	9682
"85"	"HROC50.STAR"	44621	41545	31874	9671
"86"	"HROC57.STAR"	56718	51643	39279	12364
"87"	"HROC59.STAR"	44109	40912	30995	9917
"88"	"HROC60P4918112014PRM.STAR"	55603	51012	39096	11916
"89"	"HROC69S8.STAR"	51836	47718	36200	11518
"90"	"HROC69.STAR"	50370	46418	35678	10740
"91"	"HROC80.STAR"	42261	39453	29336	10117
"92"	"HROC87.STAR"	41377	38421	28790	9631
"93"	"HT115.STAR"	52939	48562	36139	12423
"94"	"HT29.STAR"	48391	44803	33737	11066
"95"	"HT55.STAR"	37491	35069	26411	8658
"96"	"HUTU80.STAR"	50437	46498	35726	10772
"97"	"IRCC1.STAR"	41102	38605	29206	9399
"98"	"IRCC22.STAR"	47822	44376	33814	10562
"99"	"IRCC5A.STAR"	36568	34391	26252	8139
"100"	"IRCC5B.STAR"	41182	38345	28765	9580
"101"	"KM20.STAR"	41146	38555	28273	10282
"102"	"KP363T.STAR"	51920	48128	36084	12044
"103"	"LIM1215S22.STAR"	48458	45211	34295	10916
"104"	"LIM1215.STAR"	48940	46009	34620	11389
"105"	"LIM2099.STAR"	40070	37093	27180	9913
"106"	"LOVO.STAR"	49267	45553	34149	11404
"107"	"LS1030.STAR"	42349	38880	29630	9250
"108"	"LS123.STAR"	52392	48007	36177	11830
"109"	"LS180S23.STAR"	50126	46313	35217	11096
"110"	"LS180.STAR"	53542	49302	37595	11707
"111"	"LS411NS23.STAR"	48069	44656	33433	11223
"112"	"LS411N.STAR"	55326	50882	38265	12617
"113"	"LS513P21RNA28032018.STAR"	48965	45152	34450	10702
"114"	"MDST8.STAR"	48316	44638	33254	11384
"115"	"NCHI716.STAR"	49224	45304	34504	10800
"116"	"NCIH498.STAR"	50054	46580	36164	10416
"117"	"NCIH684.STAR"	48733	45619	35308	10311
"118"	"OUSM23.STAR"	41345	37948	26779	11169
"119"	"OXCO1.STAR"	52898	48632	37290	11342
"120"	"OXCO2.STAR"	48818	44824	32451	12373
"121"	"OXCO3.STAR"	44695	42151	32007	10144
"122"	"RCM1.STAR"	61576	55905	43698	12207
"123"	"RW7213.STAR"	48750	45238	35194	10044
"124"	"SKCO1.STAR"	54002	49534	39774	9760
