"ES"	"p_val"	"hits"	"hits_n"	"path"
"Glutathione metabolism"	-Inf	1	"NA"	0	"Glutathione metabolism"
"Alanine and aspartate metabolism"	-Inf	1	"NA"	0	"Alanine and aspartate metabolism"
"Translation factors"	-Inf	1	"NA"	0	"Translation factors"
"Electron transport chain OXPHOS system in mitochondria"	-Inf	1	"NA"	0	"Electron transport chain OXPHOS system in mitochondria"
"GPCRs other"	-Inf	1	"NA"	0	"GPCRs other"
"Osteoclast signaling"	-Inf	1	"NA"	0	"Osteoclast signaling"
"IL 5 signaling pathway"	-Inf	1	"NA"	0	"IL 5 signaling pathway"
"Matrix metalloproteinases"	3.95783249508975	0.062425992040105	"4326"	1	"Matrix metalloproteinases"
"Pentose phosphate metabolism"	-Inf	1	"NA"	0	"Pentose phosphate metabolism"
"Phase I biotransformations non P450"	-Inf	1	"NA"	0	"Phase I biotransformations non P450"
"Androgen receptor signaling pathway"	-Inf	1	"NA"	0	"Androgen receptor signaling pathway"
"AMP activated protein kinase signaling"	2.76518741714735	0.133090510554417	"5289"	1	"AMP activated protein kinase signaling"
"Sphingolipid pathway"	-Inf	1	"NA"	0	"Sphingolipid pathway"
"Ganglio sphingolipid metabolism"	-Inf	1	"NA"	0	"Ganglio sphingolipid metabolism"
"Bone morphogenic protein signaling and regulation"	-Inf	1	"NA"	0	"Bone morphogenic protein signaling and regulation"
"Fatty acid beta oxidation"	-Inf	1	"NA"	0	"Fatty acid beta oxidation"
"Nucleotide binding oligomerization domain NOD pathway"	-Inf	1	"NA"	0	"Nucleotide binding oligomerization domain NOD pathway"
"Osteopontin signaling"	-Inf	1	"NA"	0	"Osteopontin signaling"
"Influenza A virus infection"	-Inf	1	"NA"	0	"Influenza A virus infection"
"Serotonin transporter activity"	-Inf	1	"NA"	0	"Serotonin transporter activity"
"Target of rapamycin signaling"	-Inf	1	"NA"	0	"Target of rapamycin signaling"
"Glycine metabolism"	-Inf	1	"NA"	0	"Glycine metabolism"
"Selenium micronutrient network"	-Inf	1	"NA"	0	"Selenium micronutrient network"
"Physiological and pathological hypertrophy of the heart"	-Inf	1	"NA"	0	"Physiological and pathological hypertrophy of the heart"
"miRNA regulation of DNA damage response"	-Inf	1	"NA"	0	"miRNA regulation of DNA damage response"
"Vitamin D metabolism"	-Inf	1	"NA"	0	"Vitamin D metabolism"
"Vitamin B12 metabolism"	-Inf	1	"NA"	0	"Vitamin B12 metabolism"
"Angiogenesis"	-Inf	1	"NA"	0	"Angiogenesis"
"Energy metabolism"	-Inf	1	"NA"	0	"Energy metabolism"
"MicroRNAs in cardiomyocyte hypertrophy"	-Inf	1	"NA"	0	"MicroRNAs in cardiomyocyte hypertrophy"
"miRNAs involved in DNA damage response"	-Inf	1	"NA"	0	"miRNAs involved in DNA damage response"
"Transcription factors regulate miRNAs related to cardiac hypertrophy"	-Inf	1	"NA"	0	"Transcription factors regulate miRNAs related to cardiac hypertrophy"
"Type II diabetes mellitus"	-Inf	1	"NA"	0	"Type II diabetes mellitus"
"Folate alcohol and cancer pathway hypotheses"	-Inf	1	"NA"	0	"Folate alcohol and cancer pathway hypotheses"
"Heart development"	-Inf	1	"NA"	0	"Heart development"
"Nicotine metabolism in liver cells"	-Inf	1	"NA"	0	"Nicotine metabolism in liver cells"
"Fluoropyrimidine activity"	-Inf	1	"NA"	0	"Fluoropyrimidine activity"
"Nicotine effect on dopaminergic neurons"	-Inf	1	"NA"	0	"Nicotine effect on dopaminergic neurons"
"Nicotine effect on chromaffin cells"	-Inf	1	"NA"	0	"Nicotine effect on chromaffin cells"
"Codeine and morphine metabolism"	-Inf	1	"NA"	0	"Codeine and morphine metabolism"
"Eicosanoid synthesis"	-Inf	1	"NA"	0	"Eicosanoid synthesis"
"Nuclear receptors"	-Inf	1	"NA"	0	"Nuclear receptors"
"TP53 network"	-Inf	1	"NA"	0	"TP53 network"
"Folate metabolism"	-Inf	1	"NA"	0	"Folate metabolism"
"Apoptosis modulation and signaling"	-Inf	1	"NA"	0	"Apoptosis modulation and signaling"
"Cell cycle"	-Inf	1	"NA"	0	"Cell cycle"
"Proteasome degradation"	-Inf	1	"NA"	0	"Proteasome degradation"
"Integrin mediated cell adhesion"	-Inf	1	"NA"	0	"Integrin mediated cell adhesion"
"Homologous recombination"	-Inf	1	"NA"	0	"Homologous recombination"
"Peroxisomal beta oxidation of tetracosanoyl CoA"	-Inf	1	"NA"	0	"Peroxisomal beta oxidation of tetracosanoyl CoA"
"Cori cycle"	-Inf	1	"NA"	0	"Cori cycle"
"IL 1 signaling pathway"	-Inf	1	"NA"	0	"IL 1 signaling pathway"
"Cholesterol biosynthesis pathway"	-Inf	1	"NA"	0	"Cholesterol biosynthesis pathway"
"Integrated cancer pathway"	-Inf	1	"NA"	0	"Integrated cancer pathway"
"Thyroxine thyroid hormone production"	-Inf	1	"NA"	0	"Thyroxine thyroid hormone production"
"Sterol regulatory element binding proteins SREBP signaling"	-Inf	1	"NA"	0	"Sterol regulatory element binding proteins SREBP signaling"
"SRF and miRs in smooth muscle differentiation and proliferation"	-Inf	1	"NA"	0	"SRF and miRs in smooth muscle differentiation and proliferation"
"Genes targeted by miRNAs in adipocytes"	-Inf	1	"NA"	0	"Genes targeted by miRNAs in adipocytes"
"Effects of nitric oxide"	-Inf	1	"NA"	0	"Effects of nitric oxide"
"Iron metabolism in placenta"	-Inf	1	"NA"	0	"Iron metabolism in placenta"
"SREBF and miR33 in cholesterol and lipid homeostasis"	-Inf	1	"NA"	0	"SREBF and miR33 in cholesterol and lipid homeostasis"
"RANKL RANK signaling pathway"	-Inf	1	"NA"	0	"RANKL RANK signaling pathway"
"Cell differentiation expanded index"	-Inf	1	"NA"	0	"Cell differentiation expanded index"
"Cell differentiation index"	-Inf	1	"NA"	0	"Cell differentiation index"
"Thyroid stimulating hormone TSH signaling pathway"	-Inf	1	"NA"	0	"Thyroid stimulating hormone TSH signaling pathway"
"Leptin signaling pathway"	-Inf	1	"NA"	0	"Leptin signaling pathway"
"Follicle stimulating hormone FSH signaling pathway"	-Inf	1	"NA"	0	"Follicle stimulating hormone FSH signaling pathway"
"TNF related weak inducer of apoptosis TWEAK signaling pathway"	-Inf	1	"NA"	0	"TNF related weak inducer of apoptosis TWEAK signaling pathway"
"Prolactin signaling pathway"	-Inf	1	"NA"	0	"Prolactin signaling pathway"
"Microtubule cytoskeleton regulation"	-Inf	1	"NA"	0	"Microtubule cytoskeleton regulation"
"IL 7 signaling pathway"	-Inf	1	"NA"	0	"IL 7 signaling pathway"
"Alzheimer 39 s disease and miRNA effects"	0.570430562725106	0.451794874428228	"5289"	1	"Alzheimer 39 s disease and miRNA effects"
"Fatty acid omega oxidation"	-Inf	1	"NA"	0	"Fatty acid omega oxidation"
"Neural crest differentiation"	-Inf	1	"NA"	0	"Neural crest differentiation"
"IL 17 signaling pathway"	-Inf	1	"NA"	0	"IL 17 signaling pathway"
"Type III interferon signaling"	-Inf	1	"NA"	0	"Type III interferon signaling"
"Arrhythmogenic right ventricular cardiomyopathy"	-Inf	1	"NA"	0	"Arrhythmogenic right ventricular cardiomyopathy"
"Endothelin pathways"	-Inf	1	"NA"	0	"Endothelin pathways"
"IL 9 signaling pathway"	-Inf	1	"NA"	0	"IL 9 signaling pathway"
"Thymic stromal lymphopoietin TSLP signaling pathway"	-Inf	1	"NA"	0	"Thymic stromal lymphopoietin TSLP signaling pathway"
"Metastatic brain tumor"	-Inf	1	"NA"	0	"Metastatic brain tumor"
"Pilocytic astrocytoma"	-Inf	1	"NA"	0	"Pilocytic astrocytoma"
"Glioblastoma signaling pathways"	-Inf	1	"NA"	0	"Glioblastoma signaling pathways"
"Androgen receptor network in prostate cancer"	-Inf	1	"NA"	0	"Androgen receptor network in prostate cancer"
"Synaptic vesicle pathway"	-Inf	1	"NA"	0	"Synaptic vesicle pathway"
"Pathogenic Escherichia coli infection"	-Inf	1	"NA"	0	"Pathogenic Escherichia coli infection"
"Glial cell differentiation"	-Inf	1	"NA"	0	"Glial cell differentiation"
"Drug induction of bile acid pathway"	-Inf	1	"NA"	0	"Drug induction of bile acid pathway"
"Irinotecan pathway"	-Inf	1	"NA"	0	"Irinotecan pathway"
"RalA downstream regulated genes"	-Inf	1	"NA"	0	"RalA downstream regulated genes"
"Deregulation of Rab and Rab effector genes in bladder cancer"	-Inf	1	"NA"	0	"Deregulation of Rab and Rab effector genes in bladder cancer"
"B cell receptor signaling pathway"	-Inf	1	"NA"	0	"B cell receptor signaling pathway"
"TNF alpha signaling pathway"	-Inf	1	"NA"	0	"TNF alpha signaling pathway"
"AGE RAGE pathway"	-Inf	1	"NA"	0	"AGE RAGE pathway"
"Allograft rejection"	-Inf	1	"NA"	0	"Allograft rejection"
"Interleukin 11 signaling pathway"	-Inf	1	"NA"	0	"Interleukin 11 signaling pathway"
"Trans sulfuration pathway"	-Inf	1	"NA"	0	"Trans sulfuration pathway"
"miRNA biogenesis"	-Inf	1	"NA"	0	"miRNA biogenesis"
"Corticotropin releasing hormone signaling pathway"	-Inf	1	"NA"	0	"Corticotropin releasing hormone signaling pathway"
"Parkin ubiquitin proteasomal system pathway"	-Inf	1	"NA"	0	"Parkin ubiquitin proteasomal system pathway"
"Adipogenesis"	-Inf	1	"NA"	0	"Adipogenesis"
"Gastric cancer network 1"	-Inf	1	"NA"	0	"Gastric cancer network 1"
"Gastric cancer network 2"	-Inf	1	"NA"	0	"Gastric cancer network 2"
"Butyrate induced histone acetylation"	-Inf	1	"NA"	0	"Butyrate induced histone acetylation"
"Histone modifications"	-Inf	1	"NA"	0	"Histone modifications"
"Parkinson 39 s disease pathway"	-Inf	1	"NA"	0	"Parkinson 39 s disease pathway"
"Oncostatin M signaling pathway"	-Inf	1	"NA"	0	"Oncostatin M signaling pathway"
"Brain derived neurotrophic factor BDNF signaling pathway"	-Inf	1	"NA"	0	"Brain derived neurotrophic factor BDNF signaling pathway"
"Peptide GPCRs"	-Inf	1	"NA"	0	"Peptide GPCRs"
"Cardiac progenitor differentiation"	-Inf	1	"NA"	0	"Cardiac progenitor differentiation"
"One carbon metabolism"	-Inf	1	"NA"	0	"One carbon metabolism"
"Spinal cord injury"	-Inf	1	"NA"	0	"Spinal cord injury"
"Quercetin and Nf kB AP 1 induced apoptosis"	-Inf	1	"NA"	0	"Quercetin and Nf kB AP 1 induced apoptosis"
"Dopamine metabolism"	-Inf	1	"NA"	0	"Dopamine metabolism"
"Alpha 6 beta 4 signaling pathway"	-Inf	1	"NA"	0	"Alpha 6 beta 4 signaling pathway"
"Retinoblastoma gene in cancer"	-Inf	1	"NA"	0	"Retinoblastoma gene in cancer"
"Amyotrophic lateral sclerosis ALS "	-Inf	1	"NA"	0	"Amyotrophic lateral sclerosis ALS "
"TCA cycle and deficiency of pyruvate dehydrogenase complex PDHc "	-Inf	1	"NA"	0	"TCA cycle and deficiency of pyruvate dehydrogenase complex PDHc "
"HIF1A and PPARG regulation of glycolysis"	-Inf	1	"NA"	0	"HIF1A and PPARG regulation of glycolysis"
"Small ligand GPCRs"	-Inf	1	"NA"	0	"Small ligand GPCRs"
"NAD biosynthesis II from tryptophan "	-Inf	1	"NA"	0	"NAD biosynthesis II from tryptophan "
"Diclofenac metabolic pathway"	-Inf	1	"NA"	0	"Diclofenac metabolic pathway"
"Nanomaterial induced apoptosis"	-Inf	1	"NA"	0	"Nanomaterial induced apoptosis"
"Nanoparticle triggered autophagic cell death"	-Inf	1	"NA"	0	"Nanoparticle triggered autophagic cell death"
"Nanoparticle triggered regulated necrosis"	-Inf	1	"NA"	0	"Nanoparticle triggered regulated necrosis"
"ATM signaling pathway"	-Inf	1	"NA"	0	"ATM signaling pathway"
"Trans sulfuration one carbon metabolism and related pathways"	-Inf	1	"NA"	0	"Trans sulfuration one carbon metabolism and related pathways"
"PDGF pathway"	-Inf	1	"NA"	0	"PDGF pathway"
"Glycerophospholipid biosynthetic pathway"	3.59526241570504	0.0667352562375664	"346606"	1	"Glycerophospholipid biosynthetic pathway"
"Colchicine metabolic pathway"	-Inf	1	"NA"	0	"Colchicine metabolic pathway"
"Apoptosis"	-Inf	1	"NA"	0	"Apoptosis"
"Sulindac metabolic pathway"	-Inf	1	"NA"	0	"Sulindac metabolic pathway"
"Polycystic kidney disease pathway"	-Inf	1	"NA"	0	"Polycystic kidney disease pathway"
"Primary focal segmental glomerulosclerosis FSGS "	-Inf	1	"NA"	0	"Primary focal segmental glomerulosclerosis FSGS "
"T cell receptor and co stimulatory signaling"	-Inf	1	"NA"	0	"T cell receptor and co stimulatory signaling"
"Aryl hydrocarbon receptor pathway"	-Inf	1	"NA"	0	"Aryl hydrocarbon receptor pathway"
"Gastric acid production"	-Inf	1	"NA"	0	"Gastric acid production"
"S1P receptor signal transduction"	-Inf	1	"NA"	0	"S1P receptor signal transduction"
"Ebstein Barr virus LMP1 signaling"	-Inf	1	"NA"	0	"Ebstein Barr virus LMP1 signaling"
"Common pathways underlying drug addiction"	-Inf	1	"NA"	0	"Common pathways underlying drug addiction"
"Interleukin 1 IL 1 structural pathway"	-Inf	1	"NA"	0	"Interleukin 1 IL 1 structural pathway"
"Aripiprazole metabolic pathway"	-Inf	1	"NA"	0	"Aripiprazole metabolic pathway"
"Nanoparticle mediated activation of receptor signaling"	-Inf	1	"NA"	0	"Nanoparticle mediated activation of receptor signaling"
"Heroin metabolism"	-Inf	1	"NA"	0	"Heroin metabolism"
"Lidocaine metabolism"	-Inf	1	"NA"	0	"Lidocaine metabolism"
"Notch signaling"	-Inf	1	"NA"	0	"Notch signaling"
"Blood clotting cascade"	-Inf	1	"NA"	0	"Blood clotting cascade"
"Cardiac hypertrophic response"	-Inf	1	"NA"	0	"Cardiac hypertrophic response"
"Selenium metabolism and selenoproteins"	-Inf	1	"NA"	0	"Selenium metabolism and selenoproteins"
"exRNA mechanism of action and biogenesis"	-Inf	1	"NA"	0	"exRNA mechanism of action and biogenesis"
"Complement system"	-Inf	1	"NA"	0	"Complement system"
"Mammary gland development pathway Embryonic development Stage 1 of 4 "	-Inf	1	"NA"	0	"Mammary gland development pathway Embryonic development Stage 1 of 4 "
"Mammary gland development pathway Puberty Stage 2 of 4 "	-Inf	1	"NA"	0	"Mammary gland development pathway Puberty Stage 2 of 4 "
"Mammary gland development pathway Involution Stage 4 of 4 "	-Inf	1	"NA"	0	"Mammary gland development pathway Involution Stage 4 of 4 "
"Felbamate metabolism"	-Inf	1	"NA"	0	"Felbamate metabolism"
"Mammary gland development pathway Pregnancy and lactation Stage 3 of 4 "	-Inf	1	"NA"	0	"Mammary gland development pathway Pregnancy and lactation Stage 3 of 4 "
